scope,stage,topic_id,topic_label,metric,value
dataset,all,,,total_abstracts,2040
dataset,all,,,initial_topics,1
dataset,all,,,final_topics,1
dataset,all,,,kept_abstracts_after_topic_modeling,2040
dataset,all,,,dropped_abstracts_under_threshold,0
dataset,all,,,kept_abstract_share,1.0
dataset,all,,,dropped_abstract_share,0.0
dataset,all,,,under_threshold_initial_topics,0
merge,all,,,merge_steps,0
topic,initial,0.0,fallback_topic,abstract_count,2040
topic,initial,0.0,fallback_topic,abstract_share,1.0
topic,initial,0.0,fallback_topic,selected,True
topic,final,0.0,fallback_topic,abstract_count,2040
topic,final,0.0,fallback_topic,abstract_share,1.0
topic,final,0.0,fallback_topic,selected,True
