domain,topic_id,topic_label,abstract_count,abstract_share,intervention_year,intervention_year_pct,latest_year,latest_year_pct,pct_point_change_since_intervention
arxiv,0,"learning, data, model, models, neural, training, based",144427,0.3586439634172082,2022,38.45660433216559,2026,31.985951891856075,-6.4706524403095145
arxiv,1,"models, language, model, data, based, llms, large",125158,0.3107948041112184,2022,27.335076725711748,2026,34.33172089324763,6.99664416753588
arxiv,2,"learning, policy, reinforcement, reinforcement learning, algorithm, based, problem",52876,0.1313027218570509,2022,14.570484038091475,2026,11.271618845669606,-3.2988651924218697
arxiv,3,"data, adversarial, learning, privacy, model, models, attacks",29512,0.0732847781119087,2022,7.68737356293482,2026,7.822543237691339,0.13516967475651942
arxiv,4,"data, time, learning, model, based, series, time series",26586,0.066018877435728,2022,7.063206197266492,2026,5.615930024517925,-1.447276172748567
arxiv,7,"models, model, performance, design, based, large, memory",9316,0.0231336741966163,2022,1.569053140573346,2026,4.406599960241203,2.837546819667857
arxiv,6,"ai, human, systems, intelligence, artificial, agents, artificial intelligence",7709,0.0191431402298964,2022,1.38402328909064,2026,3.107812603538533,1.7237893144478929
arxiv,5,"quantum, classical, learning, quantum machine, machine, machine learning, neural",4096,0.0101712676587956,2022,1.1595204026249568,2026,1.136438937114837,-0.023081465510119914
arxiv,8,"fuzzy, based, decision, problem, set, paper, data",3022,0.0075042897619337,2022,0.7746583115409286,2026,0.3213836061228546,-0.45327470541807396
medarxiv,0,"sars, sars cov, vaccine, vaccination, hiv, epidemic, antibody",30109,0.3671336771896453,2022,41.12895562102062,2026,18.25118581150753,-22.877769809513094
medarxiv,1,"diabetes, gwas, genome wide, kidney, prs, type diabetes, traits",13512,0.1647583860701613,2022,15.765466121828377,2026,19.01422973809033,3.248763616261952
medarxiv,2,"coronary, cvd, asthma, ischemic, atrial, ventricular, heart failure",10448,0.1273975442318713,2022,10.253729924926352,2026,16.02392245823881,5.770192533312459
medarxiv,4,"mental health, maternal, pregnancy, 19 pandemic, mothers, school, opioid",9994,0.1218617014790698,2022,13.104627957806708,2026,15.44648381109507,2.3418558532883633
medarxiv,3,"alzheimers, tau, alzheimers disease, asd, eeg, autism, amyloid",8347,0.101779029642365,2022,9.89261617409484,2026,13.384202928438857,3.4915867543440164
medarxiv,5,"gpt, llm, ehr, electronic health, nlp, notes, models llms",6595,0.0804160417504968,2022,6.347999619880262,2026,13.012992369560733,6.66499274968047
medarxiv,6,"retinal, glaucoma, macular, caries, diabetic, ocular, amd",1660,0.0202411871578202,2022,1.938610662358643,2026,3.1140441328108888,1.1754334704522458
medarxiv,8,"breast, yidixie, pet, breast cancer, radiomics, hnc, gy",961,0.0117179402763043,2022,1.0928442459374703,2026,1.1961229119406065,0.10327866600313618
